출발지,도착지,거리 (km)
공학1관_앞_3,보의관_조형5,0.13493558740115433
공학1관_앞_3,보의관_조형6,0.12772361071655694
공학1관_앞_3,보의관_조형7,0.12090635583179533
공학1관_앞_3,보의관_조형8,0.11455431599575117
공학1관_앞_3,보의관_조형9,0.1087490421183136
공학1관_앞_3,인사관_조형학관,0.20294601556095768
공학1관_앞_3,멀베리1,0.24824760304413687
공학1관_앞_3,멀베리2,0.23907328260818847
공학1관_앞_3,멀베리3,0.23007917544809678
공학1관_앞_3,멀베리4,0.2119937874938888
공학1관_앞_3,인사관_디정관23,0.22128725706984226
공학1관_앞_3,멀베리_삼거리,0.2575828811931558
공학1관_앞_3,기숙사_오르막길,0.2743227514548361
공학1관_앞_3,기숙사_오르막길1,0.2738449270624965
공학1관_앞_3,제2엘림생활관,0.25642560346458826
공학1관_앞_3,2관_입구,0.2651233211104791
공학1관_앞_3,기숙사_오르막길2,0.27356212061222485
공학1관_앞_3,기숙사_오르막길3,0.2730726885497962
공학1관_앞_3,기숙사_오르막길4,0.2728559148311003
공학1관_앞_3,기숙사_오르막길5,0.27291244936101977
공학1관_앞_3,기숙사_오르막길6,0.27324212267575265
공학1관_앞_3,기숙사_오르막길_멀베리1,0.26985449590201965
공학1관_앞_3,기숙사_오르막길_멀베리2,0.2655690798194452
공학1관_앞_3,기숙사_오르막길_멀베리3,0.26147549299385625
공학1관_앞_4,공학1관_앞_0,0.013355378285506925
공학1관_앞_4,공학1관_앞,0.006338656946983482
공학1관_앞_4,공학1관_앞_1,0.019015970104713655
공학1관_앞_4,공학1관_앞_2,0.01267731352460477
공학1관_앞_4,공학1관_앞_3,0.0063386568231551844
공학1관_앞_4,본관_상경 삼거리,0.025354626562778752
공학1관_앞_4,본관_상경_삼거리2,0.043626182543863364
공학1관_앞_4,농구장_상경11,0.037534509727872
공학1관_앞_4,농구장_상경12,0.03144405996050326
공학1관_앞_4,농구장_상경_보의관1,0.06019910342054384
공학1관_앞_4,농구장_상경_보의관2,0.054934466112914644
공학1관_앞_4,농구장_상경_보의관3,0.0504247798991581
공학1관_앞_4,농구장_상경_보의관4,0.046888385626074336
공학1관_앞_4,농구장_상경_보의관5,0.04455763093667574
공학1관_앞_4,상경_보의관1,0.06603838136520815
공학1관_앞_4,상경_보의관2,0.07232020883847974
공학1관_앞_4,상경_보의관3,0.07909017509777488
공학1관_앞_4,상경_보의관4,0.08623338898892459
공학1관_앞_4,상경_보의관5,0.09366449346469154
공학1관_앞_4,상경_보의관6,0.1013201641704345
공학1관_앞_4,상경_보의관_삼거리,0.10915478967254434
공학1관_앞_4,보의관_조형_흡연구역1,0.17844931117210017
공학1관_앞_4,보의관_조형_흡연구역1_1,0.2009602430237285
공학1관_앞_4,보의관_조형_흡연구역1_2,0.19491495614478224
공학1관_앞_4,보의관_조형_흡연구역1_3,0.1891312682628283
공학1관_앞_4,보의관_조형_흡연구역1_4,0.18363389884912518
공학1관_앞_4,보의관_조형1,0.17015959199845415
공학1관_앞_4,보의관_조형2,0.1620608975359154
공학1관_앞_4,보의관_조형3,0.15418333266262774
